|宿泊初日|連泊数|宿泊人数|朝食|朝からチェックインプラン|お得な観光プラン|氏名|合計金額|
|"Friday"|"1"|"8"|"off"|"off"|"on"|"武田晴信"|"64000"|
|"Friday"|"2"|"9"|"off"|"off"|"off"|"真田昌虎"|"141750"|
|"Friday"|"3"|"2"|"on"|"on"|"on"|"山本寛太"|"59000"|
|"Friday"|"5"|"8"|"off"|"off"|"off"|"上杉景虎"|"308000"|
|"Friday"|"9"|"1"|"on"|"on"|"on"|"直江愛子"|"79250"|
|"Monday"|"1"|"1"|"off"|"off"|"off"|"武田晴信"|"7000"|
|"Monday"|"2"|"8"|"on"|"on"|"on"|"真田昌虎"|"144000"|
|"Monday"|"3"|"9"|"off"|"off"|"on"|"山本寛太"|"198000"|
|"Monday"|"5"|"2"|"on"|"on"|"off"|"上杉景虎"|"82000"|
|"Monday"|"9"|"2"|"on"|"on"|"off"|"直江愛子"|"153000"|
|"Saturday"|"1"|"1"|"off"|"off"|"off"|"武田晴信"|"8750"|
|"Saturday"|"2"|"2"|"off"|"off"|"off"|"真田昌虎"|"35000"|
|"Saturday"|"3"|"8"|"off"|"on"|"off"|"山本寛太"|"204000"|
|"Saturday"|"5"|"2"|"on"|"off"|"on"|"上杉景虎"|"89000"|
|"Saturday"|"9"|"9"|"on"|"on"|"on"|"直江愛子"|"729000"|
|"Sunday"|"1"|"9"|"on"|"on"|"on"|"武田晴信"|"105750"|
|"Sunday"|"2"|"1"|"on"|"off"|"off"|"真田昌虎"|"17750"|
|"Sunday"|"3"|"1"|"on"|"on"|"on"|"山本寛太"|"27750"|
|"Sunday"|"5"|"8"|"on"|"off"|"on"|"上杉景虎"|"342000"|
|"Sunday"|"9"|"2"|"off"|"off"|"off"|"直江愛子"|"136500"|
|"Thursday"|"1"|"2"|"off"|"off"|"on"|"武田晴信"|"16000"|
|"Thursday"|"2"|"1"|"on"|"on"|"off"|"真田昌虎"|"17000"|
|"Thursday"|"3"|"8"|"off"|"off"|"off"|"山本寛太"|"182000"|
|"Thursday"|"5"|"9"|"on"|"on"|"off"|"上杉景虎"|"400500"|
|"Thursday"|"9"|"8"|"on"|"off"|"on"|"直江愛子"|"612000"|
|"Tuesday"|"1"|"9"|"on"|"on"|"on"|"武田晴信"|"90000"|
|"Tuesday"|"2"|"2"|"off"|"on"|"on"|"真田昌虎"|"32000"|
|"Tuesday"|"3"|"1"|"on"|"off"|"off"|"山本寛太"|"24000"|
|"Tuesday"|"5"|"9"|"off"|"off"|"off"|"上杉景虎"|"330750"|
|"Tuesday"|"9"|"8"|"off"|"off"|"on"|"直江愛子"|"526000"|
|"Wednesday"|"1"|"2"|"on"|"on"|"on"|"武田晴信"|"20000"|
|"Wednesday"|"2"|"2"|"on"|"on"|"off"|"真田昌虎"|"34000"|
|"Wednesday"|"3"|"8"|"on"|"off"|"on"|"山本寛太"|"200000"|
|"Wednesday"|"5"|"1"|"off"|"on"|"off"|"上杉景虎"|"39500"|
|"Wednesday"|"9"|"9"|"on"|"on"|"on"|"直江愛子"|"697500"|
